Period;Consumption
01/01/2004;26978361.46
01/02/2004;26508269.3
01/03/2004;27284337.17
01/04/2004;28046181.32
01/05/2004;27248156.75
01/06/2004;27082960.94
01/07/2004;27346004.95
01/08/2004;27656857.94
01/09/2004;28282497.48
01/10/2004;28509867.27
01/11/2004;28363330.61
01/12/2004;28562105.66
01/01/2005;28375437.03
01/02/2005;27887617.66
01/03/2005;28557969.39
01/04/2005;29347026.81
01/05/2005;28482150.42
01/06/2005;28320549.73
01/07/2005;28322316.85
01/08/2005;28765002.67
01/09/2005;29335127.54
01/10/2005;29145312.09
01/11/2005;29287616.41
01/12/2005;29505145.62
01/01/2006;28880910.26
01/02/2006;29383486.21
01/03/2006;29953891.89
01/04/2006;29839706.68
01/05/2006;28967570.39
01/06/2006;29060245.3
01/07/2006;29072009.16
01/08/2006;29886235.7
01/09/2006;29945477.07
01/10/2006;30093621.07
01/11/2006;30552177.88
01/12/2006;30493978.64
01/01/2007;30699704
01/02/2007;30324669
01/03/2007;31312900
01/04/2007;32030744
01/05/2007;31382917
01/06/2007;30766760
01/07/2007;30501339
01/08/2007;31181133
01/09/2007;31735736
01/10/2007;32135735
01/11/2007;32654491
01/12/2007;32304926
01/01/2008;31855946.24
01/02/2008;31730940.65
01/03/2008;32118714.81
01/04/2008;31952656.28
01/05/2008;32299963.37
01/06/2008;31742987.81
01/07/2008;32150090.04
01/08/2008;33013174.64
01/09/2008;32963808.69
01/10/2008;33672661.38
01/11/2008;33412176.53
01/12/2008;31559278.45
01/01/2009;30666661.8
01/02/2009;30495142.71
01/03/2009;31977749.51
01/04/2009;32042792.8
01/05/2009;30945452.9
01/06/2009;30715085.95
01/07/2009;31325075.23
01/08/2009;32262205.6
01/09/2009;32716665.81
01/10/2009;33419533.14
01/11/2009;33616820.2
01/12/2009;34123194.7
01/01/2010;33360460.71
01/02/2010;33729757.75
01/03/2010;35116881.82
01/04/2010;35025860.49
01/05/2010;34296978
01/06/2010;34169459
01/07/2010;33849349
01/08/2010;34713394.23
01/09/2010;35182271.02
01/10/2010;35188924.99
01/11/2010;35077981.26
01/12/2010;35956439.4
01/01/2011;35873744.26
01/02/2011;35444916.66
01/03/2011;36350690.05
01/04/2011;36048318.05
01/05/2011;35565987.39
01/06/2011;35159573.72
01/07/2011;35417292.62
01/08/2011;36335812.84
01/09/2011;36965189.34
01/10/2011;36743770.38
01/11/2011;36368389.77
01/12/2011;36741948.78
01/01/2012;36305167.3
01/02/2012;36888068.03
01/03/2012;38635573.74
01/04/2012;37995869.09
01/05/2012;36810191.04
01/06/2012;36528393.12
01/07/2012;35917147.21
01/08/2012;37179602.51
01/09/2012;37661696.09
01/10/2012;37796014.01
01/11/2012;38643584.2
01/12/2012;37765084.44
01/01/2013;38391038.19
01/02/2013;38029466.7
01/03/2013;38468143.22
01/04/2013;38673536.71
01/05/2013;38371701.46
01/06/2013;37653536
01/07/2013;37723943.58
01/08/2013;38639358.18
01/09/2013;38550775.84
01/10/2013;39411959.83
01/11/2013;39945438.84
01/12/2013;39583058.05
01/01/2014;40305915.62
01/02/2014;41566187.57
01/03/2014;40273024.94
01/04/2014;39572225.57
01/05/2014;39129407.1
01/06/2014;37755865.24
01/07/2014;37816158.04
01/08/2014;38686460.56
01/09/2014;38928294.08
01/10/2014;40132081.88
01/11/2014;40987338.73
01/12/2014;39883611.65
01/01/2015;40715758.49
01/02/2015;40673351.16
01/03/2015;39720790.3
01/04/2015;39552923.5
01/05/2015;38160017.13
01/06/2015;37220116.93
01/07/2015;36777765.09
01/08/2015;37809349.91
01/09/2015;37789561.8
01/10/2015;39265963.71
01/11/2015;39208066.07
01/12/2015;38629199.71
01/01/2016;38441185.72
01/02/2016;38756965.71
01/03/2016;39479836.44
01/04/2016;40307615.95
01/05/2016;38684472.11
01/06/2016;37590445.23
01/07/2016;37298613.97
01/08/2016;37720362.49
01/09/2016;38378744.72
01/10/2016;38233197.09
01/11/2016;38787248.89
01/12/2016;38793146.6
01/01/2017;39390925.7
01/02/2017;38876216.09
01/03/2017;40588191.64
01/04/2017;39469179.8
01/05/2017;38194806.17
01/06/2017;38145630.97
01/07/2017;37313120.35
01/08/2017;37890279.69
01/09/2017;39037734
01/10/2017;39385247.19
01/11/2017;39865750.02
01/12/2017;39631405.25
01/01/2018;40070500.9
01/02/2018;39207355.11
01/03/2018;41139181.65
01/04/2018;40720966.79
01/05/2018;39315289.45
01/06/2018;38233798.75
01/07/2018;38544210.31
01/08/2018;39056524.67
01/09/2018;39079395.43
01/10/2018;40427600.64
01/11/2018;40441436.49
01/12/2018;40055542.46
01/01/2019;41816588.2
01/02/2019;41325116.3
01/03/2019;41309918.91
01/04/2019;39885843.87
01/05/2019;40658706.33
01/06/2019;38612537.2
01/07/2019;38484865.43
01/08/2019;38808496.91
01/09/2019;39466725.34
01/10/2019;41283796.82
01/11/2019;41994716.13
01/12/2019;40951663.74
01/01/2020;41330507.38
01/02/2020;40997019.68
01/03/2020;41150572.17
01/04/2020;37266107.53
01/05/2020;36134301.38
01/06/2020;35781921.08
01/07/2020;37883701.3
01/08/2020;39255765.5
01/09/2020;40363595.34
01/10/2020;42886520.78
01/11/2020;41425295.57
01/12/2020;42176494.61
01/01/2021;43080415.5
01/02/2021;41489041.28
01/03/2021;43666921.3
01/04/2021;42661738.92
01/05/2021;40801306.65
01/06/2021;40450616.09
01/07/2021;40210303.03
01/08/2021;40924423.92
01/09/2021;41973864.85
01/10/2021;42625710.44
01/11/2021;41886182.78
01/12/2021;42940269.13
01/01/2022;42587170.25
01/02/2022;41862293.12
01/03/2022;44634052.51
01/04/2022;43271682.79
01/05/2022;42070672.16
01/06/2022;40951241.76
01/07/2022;41246528.7
01/08/2022;42149571
01/09/2022;42327461.51
01/10/2022;42526684.27
01/11/2022;42732101.27
01/12/2022;43236782.05
01/01/2023;42549629.63
01/02/2023;43027744.7
01/03/2023;45729775.98
01/04/2023;44888690.78
01/05/2023;43173730.8
01/06/2023;42667107.17
01/07/2023;42023199.6
01/08/2023;43441196.24
01/09/2023;44487446.46
01/10/2023;46082761.35
01/11/2023;46676761.27
01/12/2023;47234581.54
01/01/2024;46978427.83
01/02/2024;46375691.9
01/03/2024;47958321.6
01/04/2024;47400758.19
01/05/2024;47113731.84
01/06/2024;45639103.25
01/07/2024;44924391.64
01/08/2024;46142990.38
01/09/2024;46414334.98
01/10/2024;48005826.46
01/11/2024;47379943.71
01/12/2024;47382257.96
01/01/2025;47154767.85
01/02/2025;47862503.01
01/03/2025;49237864.45
01/04/2025;47026986.79
01/05/2025;46673436.16
01/06/2025;45090262.46
01/07/2025;45305319.27
01/08/2025;45664267.24
01/09/2025;46044030.22
01/10/2025;47562267.42
01/11/2025;47421291.64
01/12/2025;47748075,9
01/01/2026;49104714,27
01/02/2026;47343102,17
